airport,x,y
0J0,1399199.0164016031,-1366000.2133816234
2A8,1180493.627809683,-1107746.5209392866
AL03,1149352.115854448,-1265974.1924379168
EET,1230575.5088556686,-1216677.585525931
AL39,1226770.7488299096,-1208916.686459263
8A0,1262388.810029189,-1093420.2909557086
ALX,1310365.1028081777,-1233325.3283625217
AIV,1100991.1752919573,-1243839.6858797702
AL67,1138225.4099586725,-1537663.6678388403
EKY,1215350.7090208346,-1203917.7576510399
AL19,1208508.4041673865,-1198361.0797102281
BHM,1227516.423781454,-1173804.5684248095
AL50,1219895.4752307446,-1182443.167748583
AL49,1222523.9825879664,-1177745.0902549422
AL91,1223568.8447710234,-1181119.7315324775
AL38,1223773.1567416657,-1180909.25166829
0AL8,1227158.7943297087,-1185070.3396892233
AL45,1232852.8941062095,-1187677.0735230048
AL66,1222570.4083503417,-1179560.6864358843
AL65,1234755.7573035725,-1168944.83849158
PYP,1323349.2451931322,-1098853.418636117
0A8,1205807.5136185659,-1247535.4067968917
5AL1,1262586.6955125513,-1379592.1179082787
5R1,1123411.2017433443,-1425776.3269617741
6AL6,1133866.2956369822,-1431369.1579152986
35AL,1123374.1702468442,-1466216.5584145105
02A,1251441.516082754,-1250127.965741299
01AL,1258992.0396294112,-1238205.8962605542
11A,1371453.4441513133,-1338965.3684980776
1AL2,1246583.4502345626,-1206359.3914812845
AL13,1409159.3669794637,-1299860.638967746
9A4,1156593.0941614162,-1061861.0474293425
AL59,1384822.3311745941,-1409275.5790713036
DHN,1383964.8256212324,-1400022.2515066012
14J,1322296.2210362102,-1400371.0189362383
7AL9,1198364.7239431273,-1524877.8122244184
AL08,1199657.6699602567,-1529629.6168048223
AL55,1206376.1921028215,-1526764.4774275054
EDN,1341944.1520102157,-1409510.139642916
EUF,1403569.6895971573,-1325735.3306426904
3A7,1135702.4577407346,-1270976.8221170695
GZH,1232502.2312325765,-1414012.0452538745
0AL3,1242000.943615599,-1410868.0432173042
CQF,1166695.0462601895,-1530402.162104153
3AL4,1185469.743519783,-1531498.799535283
5R4,1183942.3795250743,-1531607.1250563492
NBJ,1191075.6118908813,-1534750.6311864352
67A,1266657.9070407772,-1346248.6716430811
2AL5,1313271.6216998228,-1066455.1654307707
4A9,1306808.2724750668,-1058442.6218138593
0AL4,1304221.2630079135,-1062432.5326973998
OZR,1359874.015332084,-1409200.0888698746
HEY,1364380.1677587575,-1399460.0329560528
LOR,1355042.45680828,-1401022.8464774408
FHK,1363616.8306704625,-1403957.6432889374
SXS,1345698.3313156434,-1401819.1249946153
24AL,1374958.510037747,-1412270.1287642173
79J,1295441.1452228625,-1416126.5075868971
ANB,1309062.3433981927,-1157787.9933647108
AL42,1311027.7655378017,-1149820.6847536939
04AL,1298453.816596647,-1155266.4907420846
1M3,1193737.1945805096,-1020085.9516441533
26A,1318547.7476323796,-1190396.6720831392
0AL2,1317205.578701866,-1191408.5681275085
AL60,1272707.5355876607,-1135646.0957928542
5AL9,1187683.8840977459,-1040845.7973939572
0R1,1200047.7107319431,-1463502.8286012
AUO,1364152.8313312884,-1257902.725285514
1R8,1166695.2650972595,-1484632.2627873146
5R7,1134852.31854123,-1535435.4388559728
AL40,1206401.0858104778,-1179426.3280013518
AL29,1229630.8014824316,-1109945.7590059105
1AL0,1271144.6015324518,-1092956.570679121
8AL3,1278997.7942424724,-1100508.2038405065
3AL6,1257215.2234345744,-1158628.5987427738
12J,1235498.3648554925,-1454335.547188835
0AL6,1233834.4340097306,-1446198.900417769
09A,1120816.2138666129,-1351524.1210995768
61A,1196591.3369723565,-1356190.9451629592
AL32,1316381.5063267704,-1073831.5584857834
AL27,1327108.337236559,-1096433.0020633775
AL51,1379958.8511133278,-1277556.831425871
15A,1149361.571573544,-1482752.0384817324
CMD,1207019.211611202,-1097848.143178601
3AL9,1212736.799131902,-1104447.496690929
5AL6,1332372.911547873,-1240455.0139465781
30AL,1185202.776903548,-1089520.919057063
4R9,1145386.7676962514,-1555710.0310061527
4AL3,1170132.5308370537,-1515252.3798443
DCU,1193161.2013764058,-1056711.2524873135
1AL1,1191690.6607323673,-1063902.7830386579
DYA,1132346.634525258,-1311364.6152496838
AL14,1142738.4903459337,-1305211.5845971282
AL20,1393352.2634534023,-1409973.1514619235
M95,1127842.5452102793,-1172567.523862802
3AL0,1127070.4960114874,-1172672.3184711775
4AL7,1305091.211899108,-1028189.3061392413
43AL,1304108.0096123563,-1025630.1186884105
0AL5,1218198.0287283997,-1459010.9565280788
7AL8,1307524.761725252,-1448654.2633566204
0J4,1307091.2671895442,-1444064.9124049374
AL46,1131380.4930040548,-1038192.2429171389
0AL9,1128062.298359936,-1044585.1832334598
0AL1,1187925.2592442029,-1529221.7375591225
02AL,1178637.743466676,-1538643.614626614
25AL,1329125.2419643456,-1414977.8327503132
05AL,1366576.6757001416,-1413077.8845815526
06AL,1333721.8880705468,-1400914.8785710237
11AL,1354408.6362064376,-1396877.7008103787
12AL,1381480.173415889,-1390003.3326877735
13AL,1367272.1721899055,-1398606.549021411
14AL,1359902.9988908109,-1422920.1266395631
15AL,1355735.4271816148,-1430346.1624198358
16AL,1360023.9731922692,-1394279.4894552364
17AL,1370715.4809218375,-1395638.8124318982
19AL,1349843.7443757302,-1387678.7747012402
20AL,1323269.9048623152,-1408203.5659701717
21AL,1320455.2275832016,-1414403.7209682462
22AL,1330269.1252383671,-1404587.2308908887
23AL,1344367.008260415,-1390557.4357418101
07AL,1337448.3554227655,-1430309.501931757
GAD,1281699.1308887377,-1119092.536692426
0AL7,1292394.0512355026,-1113293.6785354337
AL18,1215237.0596596631,-1163115.6239685116
AL43,1091041.90148979,-1267403.9305812987
33J,1348737.6369005898,-1436113.2797283204
8AL9,1346606.7369089755,-1436788.6788148738
7A0,1156500.194143797,-1283519.213559313
PRN,1266782.6525783674,-1360434.965469853
71AL,1275511.7520759052,-1363191.1367721257
68AL,1275379.4146283346,-1363255.47028583
5M0,1198066.8779515394,-1083570.7695018216
00AL,1205708.911407717,-1031048.6410765698
M38,1216013.5639031702,-1023638.3796279865
HDL,1396128.3152563958,-1393079.3209573186
AL93,1210819.0724124922,-1027895.4207921376
HSV,1208834.3933259062,-1056146.4674099446
AL36,1225090.9526917886,-1044120.4188431805
3M5,1235484.0019831213,-1039493.7537839431
4AL8,1220330.8224979376,-1070811.9837085532
MDQ,1224986.0717528677,-1028587.6233668835
1AL5,1176659.4220408408,-1509340.5490932094
AL97,1183894.2558149009,-1507324.9486181182
04A,1301082.3700457022,-1367209.143155338
7AL7,1389070.9088616276,-1427967.9634846684
2AL1,1176658.7593019078,-1533050.6060320367
AL76,1227537.4864843744,-1254078.720372091
A08,1184722.9273805919,-1298516.7742196799
AL95,1142971.1810592834,-1442950.13112627
AL09,1317344.677299533,-1049064.0738505342
BFM,1146268.2850906174,-1514711.044757407
AL52,1142306.4610633338,-1506198.6447977135
AL82,1133009.1181273058,-1510682.121951987
62AL,1116568.9553448842,-1512468.1836556094
AL24,1214954.3232415589,-1163001.0886671434
MSL,1131610.1951065974,-1055810.790446869
AL53,1125465.7507282812,-1056494.3038025734
5AL5,1128674.7745750127,-1062216.1208553452
20A,1255168.2652563679,-1123600.7351233086
4AL2,1245396.0577961626,-1129852.283471636
AL89,1368631.1262457266,-1245461.565666456
3AL2,1366692.6606376853,-1254755.6679321511
AL71,1310525.272517462,-1245779.7479371335
3AL8,1236992.1363546823,-1053672.79868562
71J,1366103.0117639012,-1390622.494839183
7A5,1361247.154135781,-1200472.6666949338
2AL2,1359229.6177256089,-1197717.2537595865
AL25,1354793.545507987,-1301442.7854404328
AL84,1195003.8257834555,-1517396.6569851285
1AL4,1195849.8303844952,-1516809.3343312535
M22,1126776.4859208788,-1090206.1872334243
2R5,1128144.3002200725,-1531150.051735086
1A4,1329663.1525421583,-1433532.2237233226
4A6,1277517.0742136543,-1039174.1042104224
03AL,1274260.896096884,-1042658.9858013657
SEM,1224119.0571486494,-1311218.8522504135
AL90,1216423.708499527,-1302901.2100548553
AL74,1121825.9767611022,-1502732.5409587868
AL48,1159938.5504430814,-1367058.9865909317
TOI,1322424.8500443301,-1349842.0737168677
AL77,1324920.8551543993,-1362841.441501426
TCL,1153546.143419583,-1223562.4790162235
AL26,1161475.006018037,-1224039.7217284169
3AL3,1159230.0846056603,-1227945.6306726665
06A,1343902.2652271425,-1278768.5513525268
27AL,1355320.4442396492,-1277603.3224122585
07A,1336448.3292207317,-1312952.7906751195
AL07,1385058.2104442548,-1230108.8441615228
CVK,757105.486049348,-932386.7582777045
AR76,785485.6693999603,-1038383.9643732656
M60,793635.9645704895,-1039415.0282398136
M74,767343.4686783082,-1039024.4055588361
BVX,754954.0709545132,-992682.0546145252
AR24,755624.1897297396,-988055.0023124515
1AR0,805029.1387166836,-1023853.54972703
25AR,594844.7993343748,-1072826.9930369507
SUZ,690179.661927081,-1125302.0795313371
04AR,680570.466117498,-1127947.3135018158
VBT,518719.5241764018,-943688.8120045925
27AR,521358.66253012005,-944150.5066915401
4M1,571703.5408462728,-935788.4927641917
4AR1,720572.1105771683,-1072332.6425187106
4AR2,730359.714816934,-1085979.6792661864
73AR,724800.4603212124,-1071127.1562341142
