reporting_airline,id,type,airport,x,y
Southwest Airlines,1,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,1,dest,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,2,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,2,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,3,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,3,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,4,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,4,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,5,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,5,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,6,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,6,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,7,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,7,dest,LAX,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,8,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,8,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,9,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,9,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,10,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,10,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,11,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,11,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,12,origin,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,12,dest,SAN,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,13,origin,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,13,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,14,origin,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,14,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,15,origin,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,15,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,16,origin,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,16,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,17,origin,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,17,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,18,origin,AMA,-155479.84081452896,-1084678.4667509194
Southwest Airlines,18,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,19,origin,AMA,-155479.84081452896,-1084678.4667509194
Southwest Airlines,19,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,20,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,20,dest,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,21,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,21,dest,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,22,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,22,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,23,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,23,dest,CLE,1498726.2792607923,-232627.15593650908
Southwest Airlines,24,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,24,dest,CMH,1445821.7184349983,-405735.9494879742
Southwest Airlines,25,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,25,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,26,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,26,dest,DCA,1959959.090984065,-409479.41835946374
Southwest Airlines,27,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,27,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,28,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,28,dest,DTW,1359641.697254995,-170996.60408534826
Southwest Airlines,29,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,29,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,30,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,30,dest,GSP,1613274.8060153143,-951578.4592630994
Southwest Airlines,31,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,31,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,32,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,32,dest,IAD,1922328.2460675351,-409030.73296909296
Southwest Airlines,33,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,33,dest,IND,1166867.010981104,-490339.71160834696
Southwest Airlines,34,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,34,dest,JAX,1752547.7524868262,-1421732.3716896002
Southwest Airlines,35,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,35,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,36,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,36,dest,LAX,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,37,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,37,dest,LGA,2155684.513057,-122316.28523641168
Southwest Airlines,38,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,38,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,39,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,39,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,40,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,40,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,41,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,41,dest,MKE,980769.513678976,-155418.02245427898
Southwest Airlines,42,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,42,dest,MSP,533284.8020873081,9198.64416372486
Southwest Airlines,43,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,43,dest,MSY,943779.1568939897,-1610813.662288556
Southwest Airlines,44,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,44,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,45,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,45,dest,PBI,1982322.2831828392,-1802085.774986376
Southwest Airlines,46,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,46,dest,PHL,2075929.4181951769,-255080.32292677445
Southwest Airlines,47,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,47,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,48,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,48,dest,PIT,1653058.7188770992,-301571.10045485134
Southwest Airlines,49,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,49,dest,RDU,1892329.2704660424,-772779.4700067013
Southwest Airlines,50,origin,ATL,1438837.9937618312,-1129310.979486318
