airline,airport,type,block,n,airline_airport
AA,AUS,Arrival,2017-01-01T00:01:00Z,-45,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T00:11:00Z,-27,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T00:21:00Z,-14,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T00:31:00Z,-11,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T00:41:00Z,-9,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T00:51:00Z,-11,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:01:00Z,-10,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:11:00Z,-7,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:21:00Z,-3,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:31:00Z,-6,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:41:00Z,-7,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T01:51:00Z,-13,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:01:00Z,-14,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:11:00Z,-6,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:21:00Z,-4,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:31:00Z,-4,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:41:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T02:51:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T03:01:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T03:11:00Z,-2,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T03:31:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T04:01:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T04:41:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T04:51:00Z,-1,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T07:21:00Z,-50,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T07:31:00Z,-127,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T07:41:00Z,-44,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T07:51:00Z,-28,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T08:01:00Z,-28,American / Austin-Bergstrom International Airport (AUS)
AA,AUS,Arrival,2017-01-01T08:11:00Z,-23,American / Austin-Bergstrom International Airport (AUS)
